PRCE_REG_YMD,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,AVRG_PRCE,WSRT_EXMN_SE_CODE,EXMN_SE_NM,GRAD_CODE,GRAD_NM,DSBN_STEP_ACTO_UNIT_NM,DSBN_STEP_ACTO_WT,TDY_LWET_PRCE,TDY_MAX_PRCE,ETL_LDG_DT
20240102,111,쌀,01,20kg,57444.000,01,소매,04,상품,kg,20,50600.000,63900.000,20240117065737
20240102,111,쌀,01,20kg,49920.000,02,도매,04,상품,kg,20,46700.000,51600.000,20240117065737
20240102,111,쌀,01,20kg,47300.000,02,도매,05,중품,kg,20,44200.000,50100.000,20240117065737
20240102,111,쌀,10,10kg,29715.600,01,소매,04,상품,kg,10,25600.000,34800.000,20240117065737
20240102,111,쌀,KA,쌀(전체),29715.600,01,소매,04,상품,kg,10,25600.000,34800.000,20240117065737
20240102,111,쌀,KA,쌀(전체),57444.000,01,소매,04,상품,kg,20,50600.000,63900.000,20240117065737
20240102,111,쌀,KA,쌀(전체),49920.000,02,도매,04,상품,kg,20,46700.000,51600.000,20240117065737
20240102,111,쌀,KA,쌀(전체),47300.000,02,도매,05,중품,kg,20,44200.000,50100.000,20240117065737
20240102,112,찹쌀,01,일반계,3702.400,01,소매,04,상품,kg,1,2990.000,4700.000,20240117065737
20240102,112,찹쌀,01,일반계,106000.000,02,도매,04,상품,kg,40,102000.000,113000.000,20240117065737
20240102,112,찹쌀,01,일반계,98520.000,02,도매,05,중품,kg,40,105000.000,96200.000,20240117065737
20240102,112,찹쌀,KA,찹쌀(전체),3702.400,01,소매,04,상품,kg,1,2990.000,4700.000,20240117065737
20240102,112,찹쌀,KA,찹쌀(전체),106000.000,02,도매,04,상품,kg,40,102000.000,113000.000,20240117065737
20240102,112,찹쌀,KA,찹쌀(전체),98520.000,02,도매,05,중품,kg,40,105000.000,96200.000,20240117065737
20240102,141,콩,01,흰 콩(국산),4476.087,01,소매,04,상품,g,500,2960.000,7550.000,20240117065737
20240102,141,콩,01,흰 콩(국산),219400.000,02,도매,04,상품,kg,40,216000.000,224000.000,20240117065737
20240102,141,콩,01,흰 콩(국산),199000.000,02,도매,05,중품,kg,40,180000.000,207000.000,20240117065737
20240102,141,콩,03,흰 콩(수입),125600.000,02,도매,05,중품,kg,35,115000.000,130000.000,20240117065737
20240102,141,콩,KA,콩(전체),4476.087,01,소매,04,상품,g,500,2960.000,7550.000,20240117065737
