PRCE_REG_YMD,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,AVRG_PRCE,WSRT_EXMN_SE_CODE,EXMN_SE_NM,GRAD_CODE,GRAD_NM,DSBN_STEP_ACTO_UNIT_NM,DSBN_STEP_ACTO_WT,TDY_LWET_PRCE,TDY_MAX_PRCE,ETL_LDG_DT
20230801,111,쌀,01,20kg,52493.600,01,소매,04,상품,kg,20,47500.000,57000.000,20230816051201
20230801,111,쌀,01,20kg,48700.000,02,도매,04,상품,kg,20,47500.000,50400.000,20230816051201
20230801,111,쌀,01,20kg,45225.000,02,도매,05,중품,kg,20,43000.000,48600.000,20230816051201
20230801,111,쌀,10,10kg,28563.889,01,소매,04,상품,kg,10,22800.000,30000.000,20230816051201
20230801,111,쌀,KA,쌀(전체),28563.889,01,소매,04,상품,kg,10,22800.000,30000.000,20230816051201
20230801,111,쌀,KA,쌀(전체),52493.600,01,소매,04,상품,kg,20,47500.000,57000.000,20230816051201
20230801,111,쌀,KA,쌀(전체),48700.000,02,도매,04,상품,kg,20,47500.000,50400.000,20230816051201
20230801,111,쌀,KA,쌀(전체),45225.000,02,도매,05,중품,kg,20,43000.000,48600.000,20230816051201
20230801,112,찹쌀,01,일반계,3603.600,01,소매,04,상품,kg,1,2250.000,5590.000,20230816051201
20230801,112,찹쌀,01,일반계,100700.000,02,도매,04,상품,kg,40,101000.000,98300.000,20230816051201
20230801,112,찹쌀,01,일반계,92700.000,02,도매,05,중품,kg,40,91000.000,94000.000,20230816051201
20230801,112,찹쌀,KA,찹쌀(전체),3603.600,01,소매,04,상품,kg,1,2250.000,5590.000,20230816051201
20230801,112,찹쌀,KA,찹쌀(전체),100700.000,02,도매,04,상품,kg,40,101000.000,98300.000,20230816051201
20230801,112,찹쌀,KA,찹쌀(전체),92700.000,02,도매,05,중품,kg,40,91000.000,94000.000,20230816051201
20230801,141,콩,01,흰 콩(국산),5185.532,01,소매,04,상품,g,500,3160.000,7560.000,20230816051201
20230801,141,콩,01,흰 콩(국산),212200.000,02,도매,04,상품,kg,40,209000.000,218000.000,20230816051201
20230801,141,콩,01,흰 콩(국산),196500.000,02,도매,05,중품,kg,40,180000.000,205000.000,20230816051201
20230801,141,콩,03,흰 콩(수입),125400.000,02,도매,05,중품,kg,35,115000.000,131000.000,20230816051201
20230801,141,콩,KA,콩(전체),5185.532,01,소매,04,상품,g,500,3160.000,7560.000,20230816051201
20230801,141,콩,KA,콩(전체),212200.000,02,도매,04,상품,kg,40,209000.000,218000.000,20230816051201
20230801,141,콩,KA,콩(전체),125400.000,02,도매,05,중품,kg,35,115000.000,131000.000,20230816051201
20230801,141,콩,KA,콩(전체),196500.000,02,도매,05,중품,kg,40,180000.000,205000.000,20230816051201
20230801,142,팥,00,붉은 팥(국산),7438.000,01,소매,04,상품,g,500,5660.000,9800.000,20230816051201
20230801,142,팥,00,붉은 팥(국산),420800.000,02,도매,04,상품,kg,40,380000.000,468000.000,20230816051201
20230801,142,팥,00,붉은 팥(국산),398666.667,02,도매,05,중품,kg,40,356000.000,430000.000,20230816051201
20230801,142,팥,01,붉은 팥(수입),272600.000,02,도매,05,중품,kg,40,262000.000,278000.000,20230816051201
20230801,142,팥,KA,팥(전체),7438.000,01,소매,04,상품,g,500,5660.000,9800.000,20230816051201
20230801,142,팥,KA,팥(전체),420800.000,02,도매,04,상품,kg,40,380000.000,468000.000,20230816051201
20230801,142,팥,KA,팥(전체),319875.000,02,도매,05,중품,kg,40,262000.000,430000.000,20230816051201
20230801,143,녹두,00,국산,10554.000,01,소매,04,상품,g,500,10000.000,9800.000,20230816051201
20230801,143,녹두,00,국산,502500.000,02,도매,04,상품,kg,40,433000.000,557000.000,20230816051201
20230801,143,녹두,01,수입,223400.000,02,도매,05,중품,kg,40,170000.000,269000.000,20230816051201
20230801,143,녹두,KA,녹두(전체),10554.000,01,소매,04,상품,g,500,10000.000,9800.000,20230816051201
20230801,143,녹두,KA,녹두(전체),502500.000,02,도매,04,상품,kg,40,433000.000,557000.000,20230816051201
20230801,143,녹두,KA,녹두(전체),223400.000,02,도매,05,중품,kg,40,170000.000,269000.000,20230816051201
20230801,144,메밀,01,메밀(수입),4375.000,02,도매,05,중품,kg,1,4000.000,4750.000,20230816051201
20230801,144,메밀,KA,메밀(전체),4375.000,02,도매,05,중품,kg,1,4000.000,4750.000,20230816051201
20230801,151,고구마,00,밤,6220.204,01,소매,04,상품,kg,1,3650.000,9710.000,20230816051201
20230801,151,고구마,00,밤,4453.846,01,소매,05,중품,kg,1,3860.000,5500.000,20230816051201
20230801,151,고구마,00,밤,39920.000,02,도매,04,상품,kg,10,39000.000,40600.000,20230816051201
20230801,151,고구마,00,밤,34320.000,02,도매,05,중품,kg,10,32000.000,36000.000,20230816051201
20230801,151,고구마,KA,고구마(전체),6220.204,01,소매,04,상품,kg,1,3650.000,9710.000,20230816051201
20230801,151,고구마,KA,고구마(전체),4453.846,01,소매,05,중품,kg,1,3860.000,5500.000,20230816051201
20230801,151,고구마,KA,고구마(전체),39920.000,02,도매,04,상품,kg,10,39000.000,40600.000,20230816051201
20230801,151,고구마,KA,고구마(전체),34320.000,02,도매,05,중품,kg,10,32000.000,36000.000,20230816051201
20230801,152,감자,01,수미(노지),389.920,01,소매,04,상품,g,100,268.000,590.000,20230816051201
20230801,152,감자,01,수미(노지),304.960,01,소매,05,중품,g,100,164.000,382.000,20230816051201
20230801,152,감자,01,수미(노지),41960.000,02,도매,04,상품,kg,20,40200.000,44300.000,20230816051201
20230801,152,감자,01,수미(노지),37880.000,02,도매,05,중품,kg,20,33800.000,42300.000,20230816051201
20230801,152,감자,KA,감자(전체),389.920,01,소매,04,상품,g,100,268.000,590.000,20230816051201
20230801,152,감자,KA,감자(전체),304.960,01,소매,05,중품,g,100,164.000,382.000,20230816051201
20230801,152,감자,KA,감자(전체),41960.000,02,도매,04,상품,kg,20,40200.000,44300.000,20230816051201
20230801,152,감자,KA,감자(전체),37880.000,02,도매,05,중품,kg,20,33800.000,42300.000,20230816051201
20230801,211,배추,02,여름(고랭지),4518.163,01,소매,04,상품,포기,1,3480.000,7000.000,20230816051201
20230801,211,배추,02,여름(고랭지),4206.364,01,소매,05,중품,포기,1,3660.000,5000.000,20230816051201
20230801,211,배추,02,여름(고랭지),15340.000,02,도매,04,상품,kg,10,12000.000,19600.000,20230816051201
20230801,211,배추,02,여름(고랭지),13920.000,02,도매,05,중품,kg,10,11000.000,18600.000,20230816051201
20230801,211,배추,KA,배추(전체),4518.163,01,소매,04,상품,포기,1,3480.000,7000.000,20230816051201
20230801,211,배추,KA,배추(전체),4206.364,01,소매,05,중품,포기,1,3660.000,5000.000,20230816051201
20230801,211,배추,KA,배추(전체),15340.000,02,도매,04,상품,kg,10,12000.000,19600.000,20230816051201
20230801,211,배추,KA,배추(전체),13920.000,02,도매,05,중품,kg,10,11000.000,18600.000,20230816051201
20230801,212,양배추,00,양배추,3872.000,01,소매,04,상품,포기,1,2980.000,4330.000,20230816051201
20230801,212,양배추,00,양배추,3545.294,01,소매,05,중품,포기,1,2330.000,4690.000,20230816051201
20230801,212,양배추,00,양배추,8922.000,02,도매,04,상품,kg,8,8000.000,9660.000,20230816051201
