PRCE_REG_YMD,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,AVRG_PRCE,WSRT_EXMN_SE_CODE,EXMN_SE_NM,GRAD_CODE,GRAD_NM,DSBN_STEP_ACTO_UNIT_NM,DSBN_STEP_ACTO_WT,TDY_LWET_PRCE,TDY_MAX_PRCE,ETL_LDG_DT
20230601,111,쌀,01,20kg,50561.364,01,소매,04,상품,kg,20,44500.000,57000.000,20230608060044
20230601,111,쌀,01,20kg,46760.000,02,도매,04,상품,kg,20,45500.000,48000.000,20230608060044
20230601,111,쌀,01,20kg,43525.000,02,도매,05,중품,kg,20,43000.000,44100.000,20230608060044
20230601,111,쌀,KA,쌀(전체),50561.364,01,소매,04,상품,kg,20,44500.000,57000.000,20230608060044
20230601,111,쌀,KA,쌀(전체),46760.000,02,도매,04,상품,kg,20,45500.000,48000.000,20230608060044
20230601,111,쌀,KA,쌀(전체),43525.000,02,도매,05,중품,kg,20,43000.000,44100.000,20230608060044
20230601,112,찹쌀,01,일반계,3573.409,01,소매,04,상품,kg,1,2500.000,5000.000,20230608060044
20230601,112,찹쌀,01,일반계,97860.000,02,도매,04,상품,kg,40,102000.000,98300.000,20230608060044
20230601,112,찹쌀,01,일반계,91140.000,02,도매,05,중품,kg,40,89300.000,92800.000,20230608060044
20230601,112,찹쌀,KA,찹쌀(전체),3573.409,01,소매,04,상품,kg,1,2500.000,5000.000,20230608060044
20230601,112,찹쌀,KA,찹쌀(전체),97860.000,02,도매,04,상품,kg,40,102000.000,98300.000,20230608060044
20230601,112,찹쌀,KA,찹쌀(전체),91140.000,02,도매,05,중품,kg,40,89300.000,92800.000,20230608060044
20230601,141,콩,01,흰 콩(국산),5296.667,01,소매,04,상품,g,500,3160.000,8490.000,20230608060044
20230601,141,콩,01,흰 콩(국산),211200.000,02,도매,04,상품,kg,40,206000.000,218000.000,20230608060044
20230601,141,콩,01,흰 콩(국산),194500.000,02,도매,05,중품,kg,40,180000.000,204000.000,20230608060044
20230601,141,콩,03,흰 콩(수입),125600.000,02,도매,05,중품,kg,35,116000.000,131000.000,20230608060044
20230601,141,콩,KA,콩(전체),5296.667,01,소매,04,상품,g,500,3160.000,8490.000,20230608060044
20230601,141,콩,KA,콩(전체),211200.000,02,도매,04,상품,kg,40,206000.000,218000.000,20230608060044
20230601,141,콩,KA,콩(전체),125600.000,02,도매,05,중품,kg,35,116000.000,131000.000,20230608060044
20230601,141,콩,KA,콩(전체),194500.000,02,도매,05,중품,kg,40,180000.000,204000.000,20230608060044
20230601,142,팥,00,붉은 팥(국산),7330.682,01,소매,04,상품,g,500,5000.000,8450.000,20230608060044
20230601,142,팥,00,붉은 팥(국산),405400.000,02,도매,04,상품,kg,40,370000.000,446000.000,20230608060044
20230601,142,팥,00,붉은 팥(국산),383000.000,02,도매,05,중품,kg,40,356000.000,403000.000,20230608060044
20230601,142,팥,01,붉은 팥(수입),272200.000,02,도매,05,중품,kg,40,263000.000,278000.000,20230608060044
20230601,142,팥,KA,팥(전체),7330.682,01,소매,04,상품,g,500,5000.000,8450.000,20230608060044
20230601,142,팥,KA,팥(전체),405400.000,02,도매,04,상품,kg,40,370000.000,446000.000,20230608060044
20230601,142,팥,KA,팥(전체),313750.000,02,도매,05,중품,kg,40,263000.000,403000.000,20230608060044
20230601,143,녹두,00,국산,9832.143,01,소매,04,상품,g,500,10000.000,9330.000,20230608060044
20230601,143,녹두,00,국산,504000.000,02,도매,04,상품,kg,40,433000.000,557000.000,20230608060044
20230601,143,녹두,01,수입,229400.000,02,도매,05,중품,kg,40,200000.000,269000.000,20230608060044
20230601,143,녹두,KA,녹두(전체),9832.143,01,소매,04,상품,g,500,10000.000,9330.000,20230608060044
20230601,143,녹두,KA,녹두(전체),504000.000,02,도매,04,상품,kg,40,433000.000,557000.000,20230608060044
20230601,143,녹두,KA,녹두(전체),229400.000,02,도매,05,중품,kg,40,200000.000,269000.000,20230608060044
20230601,144,메밀,01,메밀(수입),4550.000,02,도매,05,중품,kg,1,4350.000,4750.000,20230608060044
20230601,144,메밀,KA,메밀(전체),4550.000,02,도매,05,중품,kg,1,4350.000,4750.000,20230608060044
20230601,151,고구마,00,밤,5487.209,01,소매,04,상품,kg,1,2650.000,7000.000,20230608060044
20230601,151,고구마,00,밤,31700.000,02,도매,04,상품,kg,10,30600.000,33600.000,20230608060044
20230601,151,고구마,00,밤,4247.500,01,소매,05,중품,kg,1,3750.000,4660.000,20230608060044
20230601,151,고구마,00,밤,26300.000,02,도매,05,중품,kg,10,25600.000,27300.000,20230608060044
20230601,151,고구마,KA,고구마(전체),5487.209,01,소매,04,상품,kg,1,2650.000,7000.000,20230608060044
20230601,151,고구마,KA,고구마(전체),31700.000,02,도매,04,상품,kg,10,30600.000,33600.000,20230608060044
20230601,151,고구마,KA,고구마(전체),4247.500,01,소매,05,중품,kg,1,3750.000,4660.000,20230608060044
20230601,151,고구마,KA,고구마(전체),26300.000,02,도매,05,중품,kg,10,25600.000,27300.000,20230608060044
20230601,152,감자,01,수미(노지),502.500,01,소매,04,상품,g,100,380.000,600.000,20230608060044
20230601,152,감자,01,수미(노지),57920.000,02,도매,04,상품,kg,20,50600.000,65000.000,20230608060044
20230601,152,감자,01,수미(노지),378.333,01,소매,05,중품,g,100,300.000,430.000,20230608060044
