PRCE_REG_YMD,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,AVRG_PRCE,WSRT_EXMN_SE_CODE,EXMN_SE_NM,GRAD_CODE,GRAD_NM,DSBN_STEP_ACTO_UNIT_NM,DSBN_STEP_ACTO_WT,TDY_LWET_PRCE,TDY_MAX_PRCE,ETL_LDG_DT
20231101,111,쌀,01,20kg,57309.200,01,소매,04,상품,kg,20,51800.000,62500.000,20231116060220
20231101,111,쌀,01,20kg,52380.000,02,도매,04,상품,kg,20,48800.000,54300.000,20231116060220
20231101,111,쌀,01,20kg,48900.000,02,도매,05,중품,kg,20,46000.000,51700.000,20231116060220
20231101,111,쌀,10,10kg,31335.600,01,소매,04,상품,kg,10,26600.000,36800.000,20231116060220
20231101,111,쌀,KA,쌀(전체),31335.600,01,소매,04,상품,kg,10,26600.000,36800.000,20231116060220
20231101,111,쌀,KA,쌀(전체),57309.200,01,소매,04,상품,kg,20,51800.000,62500.000,20231116060220
20231101,111,쌀,KA,쌀(전체),52380.000,02,도매,04,상품,kg,20,48800.000,54300.000,20231116060220
20231101,111,쌀,KA,쌀(전체),48900.000,02,도매,05,중품,kg,20,46000.000,51700.000,20231116060220
20231101,112,찹쌀,01,일반계,3493.600,01,소매,04,상품,kg,1,2620.000,5200.000,20231116060220
20231101,112,찹쌀,01,일반계,101540.000,02,도매,04,상품,kg,40,102000.000,97700.000,20231116060220
20231101,112,찹쌀,01,일반계,94040.000,02,도매,05,중품,kg,40,92000.000,96200.000,20231116060220
20231101,112,찹쌀,KA,찹쌀(전체),3493.600,01,소매,04,상품,kg,1,2620.000,5200.000,20231116060220
20231101,112,찹쌀,KA,찹쌀(전체),101540.000,02,도매,04,상품,kg,40,102000.000,97700.000,20231116060220
20231101,112,찹쌀,KA,찹쌀(전체),94040.000,02,도매,05,중품,kg,40,92000.000,96200.000,20231116060220
20231101,141,콩,01,흰 콩(국산),4954.043,01,소매,04,상품,g,500,3330.000,7560.000,20231116060220
20231101,141,콩,01,흰 콩(국산),219400.000,02,도매,04,상품,kg,40,216000.000,225000.000,20231116060220
20231101,141,콩,01,흰 콩(국산),202250.000,02,도매,05,중품,kg,40,180000.000,212000.000,20231116060220
20231101,141,콩,03,흰 콩(수입),126800.000,02,도매,05,중품,kg,35,115000.000,134000.000,20231116060220
20231101,141,콩,KA,콩(전체),4954.043,01,소매,04,상품,g,500,3330.000,7560.000,20231116060220
20231101,141,콩,KA,콩(전체),219400.000,02,도매,04,상품,kg,40,216000.000,225000.000,20231116060220
20231101,141,콩,KA,콩(전체),126800.000,02,도매,05,중품,kg,35,115000.000,134000.000,20231116060220
20231101,141,콩,KA,콩(전체),202250.000,02,도매,05,중품,kg,40,180000.000,212000.000,20231116060220
20231101,142,팥,00,붉은 팥(국산),8241.800,01,소매,04,상품,g,500,11100.000,9800.000,20231116060220
20231101,142,팥,00,붉은 팥(국산),448400.000,02,도매,04,상품,kg,40,394000.000,510000.000,20231116060220
20231101,142,팥,00,붉은 팥(국산),422500.000,02,도매,05,중품,kg,40,420000.000,425000.000,20231116060220
20231101,142,팥,01,붉은 팥(수입),274400.000,02,도매,05,중품,kg,40,272000.000,280000.000,20231116060220
20231101,142,팥,KA,팥(전체),8241.800,01,소매,04,상품,g,500,11100.000,9800.000,20231116060220
20231101,142,팥,KA,팥(전체),448400.000,02,도매,04,상품,kg,40,394000.000,510000.000,20231116060220
20231101,142,팥,KA,팥(전체),316714.286,02,도매,05,중품,kg,40,272000.000,425000.000,20231116060220
20231101,143,녹두,00,국산,11819.111,01,소매,04,상품,g,500,10000.000,9500.000,20231116060220
20231101,143,녹두,00,국산,510000.000,02,도매,04,상품,kg,40,433000.000,562000.000,20231116060220
20231101,143,녹두,01,수입,223600.000,02,도매,05,중품,kg,40,170000.000,269000.000,20231116060220
