PRCE_REG_YMD,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,AVRG_PRCE,WSRT_EXMN_SE_CODE,EXMN_SE_NM,GRAD_CODE,GRAD_NM,DSBN_STEP_ACTO_UNIT_NM,DSBN_STEP_ACTO_WT,TDY_LWET_PRCE,TDY_MAX_PRCE,ETL_LDG_DT
20230703,111,쌀,01,20kg,50149.600,01,소매,04,상품,kg,20,42800.000,57000.000,20230718101046
20230703,111,쌀,01,20kg,47260.000,02,도매,04,상품,kg,20,46000.000,48500.000,20230718101046
20230703,111,쌀,01,20kg,44175.000,02,도매,05,중품,kg,20,43000.000,45600.000,20230718101046
20230703,111,쌀,10,10kg,27875.000,01,소매,04,상품,kg,10,24400.000,30000.000,20230718101046
20230703,111,쌀,KA,쌀(전체),27875.000,01,소매,04,상품,kg,10,24400.000,30000.000,20230718101046
20230703,111,쌀,KA,쌀(전체),50149.600,01,소매,04,상품,kg,20,42800.000,57000.000,20230718101046
20230703,111,쌀,KA,쌀(전체),47260.000,02,도매,04,상품,kg,20,46000.000,48500.000,20230718101046
20230703,111,쌀,KA,쌀(전체),44175.000,02,도매,05,중품,kg,20,43000.000,45600.000,20230718101046
20230703,112,찹쌀,01,일반계,3838.571,01,소매,04,상품,kg,1,2450.000,5590.000,20230718101046
20230703,112,찹쌀,01,일반계,100160.000,02,도매,04,상품,kg,40,102000.000,99000.000,20230718101046
20230703,112,찹쌀,01,일반계,92520.000,02,도매,05,중품,kg,40,91000.000,94000.000,20230718101046
20230703,112,찹쌀,KA,찹쌀(전체),3838.571,01,소매,04,상품,kg,1,2450.000,5590.000,20230718101046
20230703,112,찹쌀,KA,찹쌀(전체),100160.000,02,도매,04,상품,kg,40,102000.000,99000.000,20230718101046
20230703,112,찹쌀,KA,찹쌀(전체),92520.000,02,도매,05,중품,kg,40,91000.000,94000.000,20230718101046
20230703,141,콩,01,흰 콩(국산),5364.130,01,소매,04,상품,g,500,3160.000,8490.000,20230718101046
20230703,141,콩,01,흰 콩(국산),212200.000,02,도매,04,상품,kg,40,207000.000,218000.000,20230718101046
20230703,141,콩,01,흰 콩(국산),195500.000,02,도매,05,중품,kg,40,180000.000,204000.000,20230718101046
20230703,141,콩,03,흰 콩(수입),125400.000,02,도매,05,중품,kg,35,115000.000,131000.000,20230718101046
20230703,141,콩,KA,콩(전체),5364.130,01,소매,04,상품,g,500,3160.000,8490.000,20230718101046
20230703,141,콩,KA,콩(전체),212200.000,02,도매,04,상품,kg,40,207000.000,218000.000,20230718101046
20230703,141,콩,KA,콩(전체),125400.000,02,도매,05,중품,kg,35,115000.000,131000.000,20230718101046
20230703,141,콩,KA,콩(전체),195500.000,02,도매,05,중품,kg,40,180000.000,204000.000,20230718101046
20230703,142,팥,00,붉은 팥(국산),7356.800,01,소매,04,상품,g,500,5000.000,9800.000,20230718101046
20230703,142,팥,00,붉은 팥(국산),417200.000,02,도매,04,상품,kg,40,380000.000,460000.000,20230718101046
20230703,142,팥,00,붉은 팥(국산),392000.000,02,도매,05,중품,kg,40,356000.000,420000.000,20230718101046
20230703,142,팥,01,붉은 팥(수입),272400.000,02,도매,05,중품,kg,40,262000.000,278000.000,20230718101046
20230703,142,팥,KA,팥(전체),7356.800,01,소매,04,상품,g,500,5000.000,9800.000,20230718101046
20230703,142,팥,KA,팥(전체),417200.000,02,도매,04,상품,kg,40,380000.000,460000.000,20230718101046
20230703,142,팥,KA,팥(전체),317250.000,02,도매,05,중품,kg,40,262000.000,420000.000,20230718101046
20230703,143,녹두,00,국산,10708.333,01,소매,04,상품,g,500,10000.000,9330.000,20230718101046
20230703,143,녹두,00,국산,502500.000,02,도매,04,상품,kg,40,433000.000,557000.000,20230718101046
20230703,143,녹두,01,수입,224000.000,02,도매,05,중품,kg,40,173000.000,269000.000,20230718101046
20230703,143,녹두,KA,녹두(전체),10708.333,01,소매,04,상품,g,500,10000.000,9330.000,20230718101046
20230703,143,녹두,KA,녹두(전체),502500.000,02,도매,04,상품,kg,40,433000.000,557000.000,20230718101046
20230703,143,녹두,KA,녹두(전체),224000.000,02,도매,05,중품,kg,40,173000.000,269000.000,20230718101046
20230703,144,메밀,01,메밀(수입),4375.000,02,도매,05,중품,kg,1,4000.000,4750.000,20230718101046
20230703,144,메밀,KA,메밀(전체),4375.000,02,도매,05,중품,kg,1,4000.000,4750.000,20230718101046
20230703,151,고구마,00,밤,5443.617,01,소매,04,상품,kg,1,3990.000,7390.000,20230718101046
20230703,151,고구마,00,밤,4306.667,01,소매,05,중품,kg,1,3750.000,5000.000,20230718101046
20230703,151,고구마,00,밤,38700.000,02,도매,04,상품,kg,10,37000.000,42300.000,20230718101046
20230703,151,고구마,00,밤,33040.000,02,도매,05,중품,kg,10,32000.000,34300.000,20230718101046
20230703,151,고구마,KA,고구마(전체),5443.617,01,소매,04,상품,kg,1,3990.000,7390.000,20230718101046
20230703,151,고구마,KA,고구마(전체),4306.667,01,소매,05,중품,kg,1,3750.000,5000.000,20230718101046
20230703,151,고구마,KA,고구마(전체),38700.000,02,도매,04,상품,kg,10,37000.000,42300.000,20230718101046
20230703,151,고구마,KA,고구마(전체),33040.000,02,도매,05,중품,kg,10,32000.000,34300.000,20230718101046
20230703,152,감자,01,수미(노지),409.953,01,소매,04,상품,g,100,249.000,590.000,20230718101046
20230703,152,감자,01,수미(노지),314.429,01,소매,05,중품,g,100,229.000,477.000,20230718101046
20230703,152,감자,01,수미(노지),37580.000,02,도매,04,상품,kg,20,35000.000,39300.000,20230718101046
20230703,152,감자,01,수미(노지),33300.000,02,도매,05,중품,kg,20,32600.000,35300.000,20230718101046
20230703,152,감자,KA,감자(전체),409.953,01,소매,04,상품,g,100,249.000,590.000,20230718101046
20230703,152,감자,KA,감자(전체),314.429,01,소매,05,중품,g,100,229.000,477.000,20230718101046
20230703,152,감자,KA,감자(전체),37580.000,02,도매,04,상품,kg,20,35000.000,39300.000,20230718101046
20230703,152,감자,KA,감자(전체),33300.000,02,도매,05,중품,kg,20,32600.000,35300.000,20230718101046
20230703,211,배추,01,봄,4076.250,01,소매,04,상품,포기,1,3280.000,6000.000,20230718101046
20230703,211,배추,01,봄,3548.000,01,소매,05,중품,포기,1,2980.000,4580.000,20230718101046
20230703,211,배추,01,봄,9476.000,02,도매,04,상품,kg,10,10500.000,9800.000,20230718101046
20230703,211,배추,01,봄,7992.000,02,도매,05,중품,kg,10,6830.000,8800.000,20230718101046
20230703,211,배추,KA,배추(전체),4076.250,01,소매,04,상품,포기,1,3280.000,6000.000,20230718101046
20230703,211,배추,KA,배추(전체),3548.000,01,소매,05,중품,포기,1,2980.000,4580.000,20230718101046
20230703,211,배추,KA,배추(전체),9476.000,02,도매,04,상품,kg,10,10500.000,9800.000,20230718101046
20230703,211,배추,KA,배추(전체),7992.000,02,도매,05,중품,kg,10,6830.000,8800.000,20230718101046
20230703,212,양배추,00,양배추,4413.667,01,소매,04,상품,포기,1,3330.000,5580.000,20230718101046
